layer_name,num_elements,sparsity
layer2.weight.disease_protein.bias,100,50.0
layer2.weight.molfunc_protein.weight,10000,49.36
layer2.weight.molfunc_protein.bias,100,44.0
layer2.weight.pathway_protein.weight,10000,50.09
layer2.weight.pathway_protein.bias,100,43.0
layer2.weight.phenotype_protein.weight,10000,50.760000000000005
layer2.weight.phenotype_protein.bias,100,50.0
layer2.weight.protein_protein.weight,10000,51.0
layer2.weight.protein_protein.bias,100,48.0
layer2.weight.rev_drug_protein.weight,10000,49.419999999999995
layer2.weight.rev_drug_protein.bias,100,48.0
layer2.weight.rev_exposure_protein.weight,10000,49.87
layer2.weight.rev_exposure_protein.bias,100,49.0
layer2.weight.molfunc_molfunc.weight,10000,50.4
layer2.weight.molfunc_molfunc.bias,100,48.0
layer2.weight.rev_exposure_molfunc.weight,10000,50.92
layer2.weight.rev_exposure_molfunc.bias,100,48.0
layer2.weight.rev_molfunc_protein.weight,10000,49.3
layer2.weight.rev_molfunc_protein.bias,100,59.0
layer2.weight.pathway_pathway.weight,10000,50.14999999999999
layer2.weight.pathway_pathway.bias,100,46.0
layer2.weight.rev_pathway_protein.weight,10000,50.77
layer2.weight.rev_pathway_protein.bias,100,48.0
